IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
149.104.35.124,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,426,3.80
149.104.35.74,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,455,3.77
103.103.245.239,15756,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,375,3.76
103.234.53.73,34237,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,295,3.75
103.99.179.88,1001,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,749,3.75
149.104.35.217,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,348,3.73
149.104.32.218,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,842,3.72
149.104.33.117,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,741,3.71
149.104.32.219,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,791,3.70
149.104.35.41,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,394,3.70
149.104.35.43,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,729,3.69
149.104.35.114,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,408,3.68
154.197.92.100,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,786,3.67
149.104.35.249,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,880,3.64
149.104.35.226,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,777,3.64
149.104.33.125,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,807,3.64
172.247.67.174,443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,732,3.64
149.104.34.30,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,379,3.62
172.247.129.92,7771,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,762,3.59
149.104.35.81,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,838,3.58
149.104.33.89,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,764,3.58
149.104.33.106,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,825,3.54
149.104.33.114,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,756,3.53
149.104.35.251,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,384,3.46
154.197.92.230,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,440,3.42
149.104.33.156,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,790,3.41
149.104.33.123,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,695,3.35
149.104.33.72,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,837,3.33
149.104.33.157,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,777,3.28
185.186.146.99,54833,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,758,3.28
149.104.33.109,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,839,3.27
43.229.154.113,13944,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,297,3.27
149.104.33.91,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,897,3.25
149.104.35.222,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,910,3.24
149.104.33.134,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,694,3.23
149.104.35.73,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,442,3.20
149.104.33.85,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,747,3.17
149.104.33.126,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,816,3.16
103.225.199.116,24396,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,297,3.14
149.104.33.139,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,775,3.14
149.104.33.122,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,808,3.09
149.104.33.85,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,865,3.09
149.104.33.171,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,794,3.07
149.104.33.162,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,906,3.07
149.104.35.80,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,434,3.06
149.104.33.145,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,768,3.05
149.104.33.77,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,986,3.01
149.104.33.76,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,929,3.01
